partida_id,rodata,clube,cartao,atleta,num_camisa,posicao,minuto
4607,1,Figueirense,Amarelo,Thiago Heleno,4.0,Zagueiro,44
4608,1,Internacional,Amarelo,Andrés D'Alessandro,10.0,Meio-campo,72
4608,1,Internacional,Amarelo,Juan Silveira dos Santos,4.0,Zagueiro,20
4609,1,Coritiba,Amarelo,Carlos Emiliano Pereira,30.0,Zagueiro,76
4612,1,Bahia,Amarelo,Cristian Chagas Tarouco,3.0,Zagueiro,78
4612,1,Cruzeiro,Amarelo,Willian Gomes de Siqueira,9.0,Atacante,45+1
4612,1,Bahia,Amarelo,Pará,40.0,Zagueiro,60
4612,1,Bahia,Amarelo,Fahel,7.0,Meio-campo,39
4612,1,Cruzeiro,Amarelo,Paulo César Tinga,7.0,Meio-campo,48
4612,1,Cruzeiro,Amarelo,Nílton Ferreira Júnior,19.0,Meio-campo,22
4611,1,Botafogo-RJ,Amarelo,Marcelo Mattos,5.0,Meio-campo,67
4611,1,Sao Paulo,Amarelo,Álvaro Pereira,6.0,Zagueiro,31
4611,1,Botafogo-RJ,Amarelo,Juan Carlos Ferreyra,9.0,Atacante,30
4610,1,Athletico-PR,Amarelo,Paulinho Dias,17.0,Meio-campo,38
4610,1,Gremio,Amarelo,Ramiro Moschen Benetti,17.0,Meio-campo,62
4610,1,Gremio,Amarelo,Edinho,15.0,Meio-campo,72
4614,1,Flamengo,Amarelo,Wallace Reis da Silva,14.0,Zagueiro,47
4614,1,Flamengo,Amarelo,Léo Moura,2.0,Zagueiro,31
4614,1,Goias,Amarelo,Thiago Henrique Mendes Ribeiro,23.0,Meio-campo,72
4614,1,Flamengo,Amarelo,Maurício Azevedo Alves,40.0,Meio-campo,24
4615,1,Sport,Amarelo,Luiz Antonio Linhares Garcia,13.0,Zagueiro,55
4615,1,Sport,Amarelo,Neto Baiano,9.0,Atacante,75
4615,1,Sport,Amarelo,Rodrigo Mancha,5.0,Meio-campo,43
